Time,Mg_1,Mg_2,Mg_3,NH4_1,NH4_2,NH4_3,PO4_1,PO4_2,PO4_3,Mg_1_corr,Mg_2_corr,Mg_3_corr,Mg_avg,Mg_pct,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,20.0,23.0,17.0,12.5,14.2,12.1,0.56,0.59,0.56,20.0,23.0,17.0,20.0,20.2020202,0.202020202
1.0,22.0,22.0,27.0,14.5,14.4,14.1,0.57,0.58,0.58,22.0,22.0,27.0,23.66666667,23.90572391,0.2390572391
2.0,33.0,31.0,37.0,21.0,21.7,24.0,0.77,0.8,0.84,33.0,31.0,37.0,33.66666667,34.00673401,0.3400673401
4.0,37.0,43.0,35.0,24.5,24.1,24.5,1.1,0.94,1.09,37.0,43.0,35.0,38.33333333,38.72053872,0.3872053872
6.0,45.0,46.0,45.0,25.7,26.6,25.2,1.02,1.05,1.03,45.0,46.0,45.0,45.33333333,45.79124579,0.4579124579
8.0,38.0,42.0,47.0,29.6,30.2,31.4,1.16,1.17,1.29,38.0,42.0,47.0,42.33333333,42.76094276,0.4276094276
24.5,72.0,82.0,84.0,59.4,57.6,60.7,2.33,2.27,2.3,72.0,82.0,84.0,79.33333333,80.13468013,0.8013468013
32.0,95.0,99.0,99.0,60.2,63.6,60.7,2.41,2.31,2.35,95.0,99.0,99.0,97.66666667,98.65319866,0.9865319866
48.5,,,,73.5,73.5,73.5,3.3,3.3,3.3,,,,,,
