Time,Mg_1,Mg_2,Mg_3,NH4_1,NH4_2,NH4_3,PO4_1,PO4_2,PO4_3,PO4_1_corr,PO4_2_corr,PO4_3_corr,PO4_avg,PO4_pct,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,20.0,23.0,17.0,12.5,14.2,12.1,0.56,0.59,0.56,78.96000000000001,83.19,78.96000000000001,80.37,17.27272727,0.1727272727
1.0,22.0,22.0,27.0,14.5,14.4,14.1,0.57,0.58,0.58,80.36999999999999,81.78,81.78,81.31,17.47474747,0.1747474747
2.0,33.0,31.0,37.0,21.0,21.7,24.0,0.77,0.8,0.84,108.57000000000001,112.80000000000001,118.44,113.27,24.34343434,0.2434343434
4.0,37.0,43.0,35.0,24.5,24.1,24.5,1.1,0.94,1.09,155.10000000000002,132.54,153.69,147.11,31.61616162,0.3161616162
6.0,45.0,46.0,45.0,25.7,26.6,25.2,1.02,1.05,1.03,143.82,148.05,145.23,145.7,31.31313131,0.3131313131
8.0,38.0,42.0,47.0,29.6,30.2,31.4,1.16,1.17,1.29,163.56,164.97,181.89000000000001,170.14,36.56565657,0.3656565657
24.5,72.0,82.0,84.0,59.4,57.6,60.7,2.33,2.27,2.3,328.53000000000003,320.07,324.29999999999995,324.3,69.6969697,0.696969697
32.0,95.0,99.0,99.0,60.2,63.6,60.7,2.41,2.31,2.35,339.81,325.71,331.35,332.29,71.41414141,0.7141414141
48.5,,,,73.5,73.5,73.5,3.3,3.3,3.3,465.29999999999995,465.29999999999995,465.29999999999995,465.3,100.0,1.0
