Time,Mg_1,Mg_2,Mg_3,NH4_1,NH4_2,NH4_3,PO4_1,PO4_2,PO4_3,PO4_1_corr,PO4_2_corr,PO4_3_corr,PO4_avg,PO4_pct,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,33.0,34.0,34.0,23.2,24.4,22.1,0.97,0.95,0.97,136.77,133.95,136.77,135.83,29.19191919,0.2919191919
1.0,44.0,43.0,45.0,28.3,27.6,27.4,1.06,1.09,1.07,149.46,153.69,150.87,151.34,32.52525253,0.3252525253
2.0,52.0,51.0,50.0,36.4,31.7,32.0,1.21,1.22,1.19,170.60999999999999,172.02,167.79,170.14,36.56565657,0.3656565657
4.0,52.0,57.0,55.0,33.6,31.5,33.3,1.38,1.4,1.4,194.57999999999998,197.39999999999998,197.39999999999998,196.46,42.22222222,0.4222222222
6.0,59.0,68.0,61.0,38.3,40.5,37.4,1.6,1.61,1.56,225.60000000000002,227.01000000000002,219.96,224.19,48.18181818,0.4818181818
24.0,85.0,86.0,89.0,57.0,55.8,58.2,2.21,2.0,2.2,311.61,282.0,310.20000000000005,301.27,64.74747475,0.6474747475
32.0,98.0,87.0,94.0,57.5,62.3,60.6,2.48,2.41,2.45,349.68,339.81,345.45000000000005,344.98,74.14141414,0.7414141414
48.0,99.0,99.0,99.0,73.5,73.2,73.5,2.92,2.94,2.93,411.71999999999997,414.54,413.13,413.13,88.78787879,0.8878787879
72.0,,,,73.5,73.5,73.5,3.3,3.3,3.3,465.29999999999995,465.29999999999995,465.29999999999995,465.3,100.0,1.0
