Dataset,Analyte,Time,Mg_1,Mg_2,Mg_3,NH4_1,NH4_2,NH4_3,PO4_1,PO4_2,PO4_3,Mg_1_corr,Mg_2_corr,Mg_3_corr,Mg_avg,Mg_pct,F,1-F,ln(1-F),sqrt_t,ln_t,log_t,log_F,first_order_model__Parameter,first_order_model__Value,first_order_model__Slope,first_order_model__Intercept,first_order_model__R_2_transformed,first_order_model__RMSE_in_F_space,first_order_model__RRMSE_in_F_space,ritger_peppas_model__Parameter,ritger_peppas_model__Value,ritger_peppas_model__k_Ritger_Peppas,ritger_peppas_model__Slope,ritger_peppas_model__Intercept,ritger_peppas_model__R_2_transformed,ritger_peppas_model__RMSE_in_F_space,ritger_peppas_model__RRMSE_in_F_space,higuchi_model__Parameter,higuchi_model__Value,higuchi_model__Slope,higuchi_model__Intercept,higuchi_model__R_2_transformed,higuchi_model__RMSE_in_F_space,higuchi_model__RRMSE_in_F_space,elovich_model__Parameter,elovich_model__Value,elovich_model__Slope,elovich_model__Intercept,elovich_model__R_2_transformed,elovich_model__RMSE_in_F_space,elovich_model__RRMSE_in_F_space,Best_Model,Best_Model_Parameter,Best_Model_Value
SNAHCO3RawData,Mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,k (first-order),0.06986566759019877,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805,n (release exponent),0.23136083469493599,0.4200330758070163,0.23136083469493599,-0.3767165094238142,0.9872828454682904,0.017423689110325026,2.836636621708226,k_H (Higuchi constant),0.1124502967726229,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666,slope (1/beta),0.14046169233170452,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622,First-Order Model,k (first-order),0.06986566759019877
SNAHCO3RawData,Mg,0.5,33.0,34.0,34.0,23.2,24.4,22.1,0.97,0.95,0.97,33.0,34.0,34.0,33.66666667,34.00673401,0.3400673401,0.6599326598999999,-0.4156174796216723,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.4684350754928603,k (first-order),0.06986566759019877,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805,n (release exponent),0.23136083469493599,0.4200330758070163,0.23136083469493599,-0.3767165094238142,0.9872828454682904,0.017423689110325026,2.836636621708226,k_H (Higuchi constant),0.1124502967726229,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666,slope (1/beta),0.14046169233170452,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622,First-Order Model,k (first-order),0.06986566759019877
SNAHCO3RawData,Mg,1.0,44.0,43.0,45.0,28.3,27.6,27.4,1.06,1.09,1.07,44.0,43.0,45.0,44.0,44.44444444,0.4444444444,0.5555555556,-0.5877866648221189,1.0,0.0,0.0,-0.3521825181547919,k (first-order),0.06986566759019877,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805,n (release exponent),0.23136083469493599,0.4200330758070163,0.23136083469493599,-0.3767165094238142,0.9872828454682904,0.017423689110325026,2.836636621708226,k_H (Higuchi constant),0.1124502967726229,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666,slope (1/beta),0.14046169233170452,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622,First-Order Model,k (first-order),0.06986566759019877
SNAHCO3RawData,Mg,2.0,52.0,51.0,50.0,36.4,31.7,32.0,1.21,1.22,1.19,52.0,51.0,50.0,51.0,51.51515152,0.5151515152,0.4848484848,-0.7239188393266991,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.2880650184587388,k (first-order),0.06986566759019877,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805,n (release exponent),0.23136083469493599,0.4200330758070163,0.23136083469493599,-0.3767165094238142,0.9872828454682904,0.017423689110325026,2.836636621708226,k_H (Higuchi constant),0.1124502967726229,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666,slope (1/beta),0.14046169233170452,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622,First-Order Model,k (first-order),0.06986566759019877
SNAHCO3RawData,Mg,4.0,52.0,57.0,55.0,33.6,31.5,33.3,1.38,1.4,1.4,52.0,57.0,55.0,54.66666667,55.21885522,0.5521885522,0.44781144780000004,-0.8033830106065096,2.0,1.3862943611198906,0.6020599913279624,-0.25791260126051085,k (first-order),0.06986566759019877,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805,n (release exponent),0.23136083469493599,0.4200330758070163,0.23136083469493599,-0.3767165094238142,0.9872828454682904,0.017423689110325026,2.836636621708226,k_H (Higuchi constant),0.1124502967726229,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666,slope (1/beta),0.14046169233170452,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622,First-Order Model,k (first-order),0.06986566759019877
SNAHCO3RawData,Mg,6.0,59.0,68.0,61.0,38.3,40.5,37.4,1.6,1.61,1.56,59.0,68.0,61.0,62.66666667,63.2996633,0.632996633,0.367003367,-1.0023842565827301,2.449489742783178,1.791759469228055,0.7781512503836436,-0.19859860005122243,k (first-order),0.06986566759019877,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805,n (release exponent),0.23136083469493599,0.4200330758070163,0.23136083469493599,-0.3767165094238142,0.9872828454682904,0.017423689110325026,2.836636621708226,k_H (Higuchi constant),0.1124502967726229,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666,slope (1/beta),0.14046169233170452,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622,First-Order Model,k (first-order),0.06986566759019877
SNAHCO3RawData,Mg,24.0,85.0,86.0,89.0,57.0,55.8,58.2,2.21,2.0,2.2,85.0,86.0,89.0,86.66666667,87.54208755,0.8754208755,0.12457912449999997,-2.0828142267936105,4.898979485566356,3.1780538303479458,1.380211241711606,-0.05778310130714084,k (first-order),0.06986566759019877,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805,n (release exponent),0.23136083469493599,0.4200330758070163,0.23136083469493599,-0.3767165094238142,0.9872828454682904,0.017423689110325026,2.836636621708226,k_H (Higuchi constant),0.1124502967726229,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666,slope (1/beta),0.14046169233170452,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622,First-Order Model,k (first-order),0.06986566759019877
SNAHCO3RawData,Mg,32.0,98.0,87.0,94.0,57.5,62.3,60.6,2.48,2.41,2.45,98.0,87.0,94.0,93.0,93.93939394,0.9393939394,0.060606060599999956,-2.8033603810065357,5.656854249492381,3.4657359027997265,1.505149978319906,-0.02715224604081288,k (first-order),0.06986566759019877,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805,n (release exponent),0.23136083469493599,0.4200330758070163,0.23136083469493599,-0.3767165094238142,0.9872828454682904,0.017423689110325026,2.836636621708226,k_H (Higuchi constant),0.1124502967726229,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666,slope (1/beta),0.14046169233170452,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622,First-Order Model,k (first-order),0.06986566759019877
SNAHCO3RawData,Mg,48.0,99.0,99.0,99.0,73.5,73.2,73.5,2.92,2.94,2.93,99.0,99.0,99.0,99.0,100.0,1.0,,,,,,,k (first-order),0.06986566759019877,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805,n (release exponent),0.23136083469493599,0.4200330758070163,0.23136083469493599,-0.3767165094238142,0.9872828454682904,0.017423689110325026,2.836636621708226,k_H (Higuchi constant),0.1124502967726229,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666,slope (1/beta),0.14046169233170452,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622,First-Order Model,k (first-order),0.06986566759019877
SNAHCO3RawData,Mg,72.0,,,,73.5,73.5,73.5,3.3,3.3,3.3,,,,,,,,,,,,,k (first-order),0.06986566759019877,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805,n (release exponent),0.23136083469493599,0.4200330758070163,0.23136083469493599,-0.3767165094238142,0.9872828454682904,0.017423689110325026,2.836636621708226,k_H (Higuchi constant),0.1124502967726229,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666,slope (1/beta),0.14046169233170452,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622,First-Order Model,k (first-order),0.06986566759019877
