Time,Mg_1,Mg_2,Mg_3,NH4_1,NH4_2,NH4_3,PO4_1,PO4_2,PO4_3,NH4_1_corr,NH4_2_corr,NH4_3_corr,NH4_avg,NH4_pct,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,33.0,34.0,34.0,23.2,24.4,22.1,0.97,0.95,0.97,23.2,24.4,22.1,23.23333333,31.60997732,0.3160997732
1.0,44.0,43.0,45.0,28.3,27.6,27.4,1.06,1.09,1.07,28.3,27.6,27.4,27.76666667,37.77777778,0.3777777778
2.0,52.0,51.0,50.0,36.4,31.7,32.0,1.21,1.22,1.19,36.4,31.7,32.0,33.36666667,45.3968254,0.453968254
4.0,52.0,57.0,55.0,33.6,31.5,33.3,1.38,1.4,1.4,33.6,31.5,33.3,32.8,44.62585034,0.4462585034
6.0,59.0,68.0,61.0,38.3,40.5,37.4,1.6,1.61,1.56,38.3,40.5,37.4,38.73333333,52.69841269,0.5269841269
24.0,85.0,86.0,89.0,57.0,55.8,58.2,2.21,2.0,2.2,57.0,55.8,58.2,57.0,77.55102041,0.7755102041
32.0,98.0,87.0,94.0,57.5,62.3,60.6,2.48,2.41,2.45,57.5,62.3,60.6,60.13333333,81.81405895,0.8181405895
48.0,99.0,99.0,99.0,73.5,73.2,73.5,2.92,2.94,2.93,73.5,73.2,73.5,73.4,99.86394558,0.9986394558
72.0,,,,73.5,73.5,73.5,3.3,3.3,3.3,73.5,73.5,73.5,73.5,100.0,1.0
