Dataset,Analyte,Model,Linearized X,Linearized Y,Fit Basis,Fit Equation,Slope Meaning,Reported Parameter,Reported Parameter Value,Parameter from Fit,k (Ritger-Peppas),Time,F,1-F,ln(1-F),sqrt_t,ln_t,log_t,log_F,Linearized_X,Linearized_Y,Linearized_Y_Predicted,Linearized_Residual,F_Predicted,F_Residual,F_Residual_Squared,Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
EPSRawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.036026665083275504,k = -slope,,0.5,0.1727272727,0.8272727273,-0.18962085924259914,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.7626390842739689,0.5,-0.18962085924259914,-0.2064588195855736,0.016837960342974467,0.18654024062276242,-0.013812967922762431,0.00019079808283526387,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848
EPSRawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.036026665083275504,k = -slope,,1.0,0.1747474747,0.8252525253,-0.19206584821110514,1.0,0.0,0.0,-0.757589091586742,1.0,-0.19206584821110514,-0.22447215212721136,0.032406303916106216,0.20106217489094524,-0.026314700190945256,0.0006924634461393343,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848
EPSRawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.036026665083275504,k = -slope,,2.0,0.2434343434,0.7565656566,-0.2789659595660223,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.6136181520839513,2.0,-0.2789659595660223,-0.26049881721048684,-0.018467142355535482,0.2293329320875619,0.014101411312438111,0.00019884980100255754,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848
EPSRawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.036026665083275504,k = -slope,,4.0,0.3161616162,0.6838383838,-0.3800336702724907,2.0,1.3862943611198906,0.6020599913279624,-0.5000908569983756,4.0,-0.3800336702724907,-0.33255214737703787,-0.04748152289545282,0.2829087265400497,0.03325288965995027,0.0011057546707368274,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848
EPSRawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.036026665083275504,k = -slope,,6.0,0.3131313131,0.6868686869,-0.37561214491289496,2.449489742783178,1.791759469228055,0.7781512503836436,-0.5042735008067067,6.0,-0.37561214491289496,-0.4046054775435889,0.028993332630693924,0.3327599998981168,-0.0196286867981168,0.0003852853454185648,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848
EPSRawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.036026665083275504,k = -slope,,8.0,0.3656565657,0.6343434343000001,-0.45516477672890815,2.8284271247461903,2.0794415416798357,0.9030899869919435,-0.43692662401279675,8.0,-0.45516477672890815,-0.4766588077101399,0.02149403098123176,0.37914567613152506,-0.013489110431525064,0.00018195610023387832,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848
EPSRawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.036026665083275504,k = -slope,,24.5,0.696969697,0.303030303,-1.1939224685724346,4.949747468305833,3.1986731175506815,1.3891660843645324,-0.15678610384141223,24.5,-1.1939224685724346,-1.0710987815841857,-0.12282368698824886,0.6573681670385813,0.03960152996141875,0.0015682811752851466,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848
EPSRawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.036026665083275504,k = -slope,,32.0,0.7141414141,0.2858585859,-1.2522580453405217,5.656854249492381,3.4657359027997265,1.505149978319906,-0.14621578082583592,32.0,-1.2522580453405217,-1.341298769708752,0.0890407243682303,0.7384941878969724,-0.024352773796972427,0.0005930575916065069,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848
EPSRawData,PO4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.1179769367785615,k_H = slope,,0.5,0.1727272727,0.8272727273,-0.18962085924259914,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.7626390842739689,0.7071067811865476,0.1727272727,0.1482679377204907,0.02445933497950928,0.1482679377204907,0.02445933497950928,0.0005982590676398462,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542
EPSRawData,PO4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.1179769367785615,k_H = slope,,1.0,0.1747474747,0.8252525253,-0.19206584821110514,1.0,0.0,0.0,-0.757589091586742,1.0,0.1747474747,0.18282258247931477,-0.008075107779314777,0.18282258247931477,-0.008075107779314777,6.520736564755004e-05,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542
