Dataset,Analyte,Model,Linearized X,Linearized Y,Fit Basis,Fit Equation,Slope Meaning,Reported Parameter,Reported Parameter Value,Parameter from Fit,k (Ritger-Peppas),Time,F,1-F,ln(1-F),sqrt_t,ln_t,log_t,log_F,Linearized_X,Linearized_Y,Linearized_Y_Predicted,Linearized_Residual,F_Predicted,F_Residual,F_Residual_Squared,Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
SNAHCO3RawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.06986566759019877,k = -slope,,0.5,0.3400673401,0.6599326598999999,-0.4156174796216723,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.4684350754928603,0.5,-0.4156174796216723,-0.5440186854009659,0.1284012057792936,0.41958893017414656,-0.07952159007414655,0.006323683287920603,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805
SNAHCO3RawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.06986566759019877,k = -slope,,1.0,0.4444444444,0.5555555556,-0.5877866648221189,1.0,0.0,0.0,-0.3521825181547919,1.0,-0.5877866648221189,-0.5789515191960652,-0.008835145626053698,0.4395142828860188,0.004930161513981235,2.4306492553941743e-05,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805
SNAHCO3RawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.06986566759019877,k = -slope,,2.0,0.5151515152,0.4848484848,-0.7239188393266991,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.2880650184587388,2.0,-0.7239188393266991,-0.648817186786264,-0.0751016525404351,0.4773363752687175,0.03781513993128249,0.0014299848080224758,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805
SNAHCO3RawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.06986566759019877,k = -slope,,4.0,0.5521885522,0.44781144780000004,-0.8033830106065096,2.0,1.3862943611198906,0.6020599913279624,-0.25791260126051085,4.0,-0.8033830106065096,-0.7885485219666616,-0.014834488639848042,0.5454959806578631,0.0066925715421368714,4.47905138466203e-05,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805
SNAHCO3RawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.06986566759019877,k = -slope,,6.0,0.632996633,0.367003367,-1.0023842565827301,2.449489742783178,1.791759469228055,0.7781512503836436,-0.19859860005122243,6.0,-1.0023842565827301,-0.9282798571470592,-0.07410439943567093,0.6047670168277665,0.028229616172233518,0.0007969112292316282,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805
SNAHCO3RawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.06986566759019877,k = -slope,,24.0,0.8754208755,0.12457912449999997,-2.0828142267936105,4.898979485566356,3.1780538303479458,1.380211241711606,-0.05778310130714084,24.0,-2.0828142267936105,-2.1858618737706372,0.10304764697702673,0.8876191661904123,-0.012198290690412228,0.00014879829576779763,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805
SNAHCO3RawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.06986566759019877,k = -slope,,32.0,0.9393939394,0.060606060599999956,-2.8033603810065357,5.656854249492381,3.4657359027997265,1.505149978319906,-0.02715224604081288,32.0,-2.8033603810065357,-2.744787214492227,-0.05857316651430855,0.935738026493547,0.0036559129064530627,1.336569917957008e-05,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805
SNAHCO3RawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.1124502967726229,k_H = slope,,0.5,0.3400673401,0.6599326598999999,-0.4156174796216723,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.4684350754928603,0.7071067811865476,0.3400673401,0.4025596277646134,-0.0624922876646134,0.4025596277646134,-0.0624922876646134,0.003905286017556792,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666
SNAHCO3RawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.1124502967726229,k_H = slope,,1.0,0.4444444444,0.5555555556,-0.5877866648221189,1.0,0.0,0.0,-0.3521825181547919,1.0,0.4444444444,0.4354955571428749,0.008948887257125115,0.4354955571428749,0.008948887257125115,8.008258314073627e-05,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666
SNAHCO3RawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.1124502967726229,k_H = slope,,2.0,0.5151515152,0.4848484848,-0.7239188393266991,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.2880650184587388,1.4142135623730951,0.5151515152,0.48207399515897476,0.033077520041025266,0.48207399515897476,0.033077520041025266,0.0010941223320644281,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666
SNAHCO3RawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.1124502967726229,k_H = slope,,4.0,0.5521885522,0.44781144780000004,-0.8033830106065096,2.0,1.3862943611198906,0.6020599913279624,-0.25791260126051085,2.0,0.5521885522,0.5479458539154978,0.004242698284502189,0.5479458539154978,0.004242698284502189,1.8000488733317814e-05,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666
SNAHCO3RawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.1124502967726229,k_H = slope,,6.0,0.632996633,0.367003367,-1.0023842565827301,2.449489742783178,1.791759469228055,0.7781512503836436,-0.19859860005122243,2.449489742783178,0.632996633,0.5984911088877161,0.034505524112283914,0.5984911088877161,0.034505524112283914,0.0011906311942634065,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666
SNAHCO3RawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.1124502967726229,k_H = slope,,24.0,0.8754208755,0.12457912449999997,-2.0828142267936105,4.898979485566356,3.1780538303479458,1.380211241711606,-0.05778310130714084,4.898979485566356,0.8754208755,0.8739369574051801,0.0014839180948199582,0.8739369574051801,0.0014839180948199582,2.2020129121340943e-06,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666
SNAHCO3RawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.1124502967726229,k_H = slope,,32.0,0.9393939394,0.060606060599999956,-2.8033603810065357,5.656854249492381,3.4657359027997265,1.505149978319906,-0.02715224604081288,5.656854249492381,0.9393939394,0.9591601995251431,-0.019766260125143043,0.9591601995251431,-0.019766260125143043,0.00039070503933481983,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666
SNAHCO3RawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.14046169233170452,1/beta = slope,,0.5,0.3400673401,0.6599326598999999,-0.4156174796216723,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.4684350754928603,-0.6931471805599453,0.3400673401,0.31979230699133593,0.020275033108664076,0.31979230699133593,0.020275033108664076,0.00041107696755742445,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622
SNAHCO3RawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.14046169233170452,1/beta = slope,,1.0,0.4444444444,0.5555555556,-0.5877866648221189,1.0,0.0,0.0,-0.3521825181547919,0.0,0.4444444444,0.4171529330077354,0.0272915113922646,0.4171529330077354,0.0272915113922646,0.0007448265940741085,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622
SNAHCO3RawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.14046169233170452,1/beta = slope,,2.0,0.5151515152,0.4848484848,-0.7239188393266991,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.2880650184587388,0.6931471805599453,0.5151515152,0.5145135590241349,0.0006379561758651509,0.5145135590241349,0.0006379561758651509,4.069880823244873e-07,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622
SNAHCO3RawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.14046169233170452,1/beta = slope,,4.0,0.5521885522,0.44781144780000004,-0.8033830106065096,2.0,1.3862943611198906,0.6020599913279624,-0.25791260126051085,1.3862943611198906,0.5521885522,0.6118741850405344,-0.05968563284053441,0.6118741850405344,-0.05968563284053441,0.0035623747675750795,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622
SNAHCO3RawData,Mg,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.14046169233170452,1/beta = slope,,6.0,0.632996633,0.367003367,-1.0023842565827301,2.449489742783178,1.791759469228055,0.7781512503836436,-0.19859860005122243,1.791759469228055,0.632996633,0.6688265003068647,-0.03582986730686477,0.6688265003068647,-0.03582986730686477,0.001283779391227537,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622
