Dataset,Analyte,Model,Linearized X,Linearized Y,Fit Basis,Fit Equation,Slope Meaning,Reported Parameter,Reported Parameter Value,Parameter from Fit,k (Ritger-Peppas),Time,F,1-F,ln(1-F),sqrt_t,ln_t,log_t,log_F,Linearized_X,Linearized_Y,Linearized_Y_Predicted,Linearized_Residual,F_Predicted,F_Residual,F_Residual_Squared,Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
EPSRawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10750441778505102,k = -slope,,0.5,0.202020202,0.797979798,-0.22567199764225201,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.6946051989769981,0.5,-0.22567199764225201,-0.06784738817491084,-0.15782460946734117,0.06559693634661601,0.136423265653384,0.018611307411533783,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693
EPSRawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10750441778505102,k = -slope,,1.0,0.2390572391,0.7609427609,-0.2731971395866084,1.0,0.0,0.0,-0.6214981005204534,1.0,-0.2731971395866084,-0.12159959706743637,-0.15159754251917204,0.11449714453079607,0.12456009456920394,0.01551521715908903,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693
EPSRawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10750441778505102,k = -slope,,2.0,0.3400673401,0.6599326598999999,-0.4156174796216723,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.4684350754928603,2.0,-0.4156174796216723,-0.22910401485248738,-0.1865134647691849,0.20475418817278146,0.13531315192721854,0.01830964908447853,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693
EPSRawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10750441778505102,k = -slope,,4.0,0.3872053872,0.6127946128,-0.489725451717113,2.0,1.3862943611198906,0.6020599913279624,-0.4120586089696431,4.0,-0.489725451717113,-0.4441128504225894,-0.0456126012945236,0.35860696473204967,0.028598422467950302,0.0008178697676553647,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693
EPSRawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10750441778505102,k = -slope,,6.0,0.4579124579,0.5420875421,-0.6123277737952553,2.449489742783178,1.791759469228055,0.7781512503836436,-0.3392175409588102,6.0,-0.6123277737952553,-0.6591216859926914,0.046793912197436116,0.4826945083244085,-0.024782050424408508,0.000614150023237926,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693
EPSRawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10750441778505102,k = -slope,,8.0,0.4276094276,0.5723905724,-0.5579337017359672,2.8284271247461903,2.0794415416798357,0.9030899869919435,-0.3689527283708305,8.0,-0.5579337017359672,-0.8741305215627935,0.31619681982682624,0.5827753701660794,-0.1551659425660794,0.024076469732419854,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693
EPSRawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10750441778505102,k = -slope,,24.5,0.8013468013,0.19865319869999998,-1.616194694661387,4.949747468305833,3.1986731175506815,1.3891660843645324,-0.09617949228606465,24.5,-1.616194694661387,-2.647953415016135,1.031758720354748,0.9292040451651791,-0.12785724386517905,0.016347474808799865,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693
EPSRawData,Mg,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.10750441778505102,k = -slope,,32.0,0.9865319866,0.013468013400000034,-4.307437782732807,5.656854249492381,3.4657359027997265,1.505149978319906,-0.0058888289331617905,32.0,-4.307437782732807,-3.4542365484040176,-0.8532012343287891,0.9683885710581808,0.018143415541819197,0.0003291835275231264,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693
EPSRawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.15006305803168243,k_H = slope,,0.5,0.202020202,0.797979798,-0.22567199764225201,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.6946051989769981,0.7071067811865476,0.202020202,0.19230440789107095,0.00971579410892906,0.19230440789107095,0.00971579410892906,9.439665516710063e-05,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826
EPSRawData,Mg,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.15006305803168243,k_H = slope,,1.0,0.2390572391,0.7609427609,-0.2731971395866084,1.0,0.0,0.0,-0.6214981005204534,1.0,0.2390572391,0.2362568599829603,0.002800379117039703,0.2362568599829603,0.002800379117039703,7.842123199152066e-06,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826
