Dataset,Analyte,Model,Linearized X,Linearized Y,Fit Basis,Fit Equation,Slope Meaning,Reported Parameter,Reported Parameter Value,Parameter from Fit,k (Ritger-Peppas),Time,F,1-F,ln(1-F),sqrt_t,ln_t,log_t,log_F,Linearized_X,Linearized_Y,Linearized_Y_Predicted,Linearized_Residual,F_Predicted,F_Residual,F_Residual_Squared,Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
EPSRawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.05396130878162242,k = -slope,,0.5,0.1759637188,0.8240362811999999,-0.1935407194594588,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.7545768682611386,0.5,-0.1935407194594588,-0.1998596413726871,0.006318921913228304,0.18115432293227918,-0.005190604132279175,2.6942371258033648e-05,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802
EPSRawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.05396130878162242,k = -slope,,1.0,0.1950113378,0.8049886622,-0.21692708588635978,1.0,0.0,0.0,-0.7099401383767789,1.0,-0.21692708588635978,-0.22684029576349832,0.009913209877138535,0.20295193592132243,-0.007940598121322445,6.305309852434955e-05,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802
EPSRawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.05396130878162242,k = -slope,,2.0,0.302494331,0.697505669,-0.3602446377210788,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.5192827599817202,2.0,-0.3602446377210788,-0.2808016045451207,-0.07944303317595808,0.24482185546950164,0.05767247553049837,0.003326114433815933,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802
EPSRawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.05396130878162242,k = -slope,,4.0,0.3315192744,0.6684807256,-0.4027477151669425,2.0,1.3862943611198906,0.6020599913279624,-0.47949121681510315,4.0,-0.4027477151669425,-0.38872422210836555,-0.014023493058576975,0.3220788000835735,0.009440474316426528,8.912255531910893e-05,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802
EPSRawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.05396130878162242,k = -slope,,6.0,0.3514739229,0.6485260771,-0.43305306462314724,2.449489742783178,1.791759469228055,0.7781512503836436,-0.45410689130062915,6.0,-0.43305306462314724,-0.4966468396716104,0.06359377504846314,0.39143213210725114,-0.03995820920725113,0.0015966584830504487,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802
EPSRawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.05396130878162242,k = -slope,,8.0,0.4136054422,0.5863945578,-0.533762409148532,2.8284271247461903,2.0794415416798357,0.9030899869919435,-0.38341375545115497,8.0,-0.533762409148532,-0.6045694572348552,0.07080704808632321,0.45369041434729696,-0.04008497214729695,0.0016068049920495721,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802
EPSRawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.05396130878162242,k = -slope,,24.5,0.8058956916,0.19410430840000004,-1.6393595922477475,4.949747468305833,3.1986731175506815,1.3891660843645324,-0.09372116600393259,24.5,-1.6393595922477475,-1.4949310521316252,-0.14442854011612227,0.7757359332731528,0.03015975832684714,0.0009096110223338255,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802
EPSRawData,NH4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.05396130878162242,k = -slope,,32.0,0.8367346939,0.1632653061,-1.8123787565682907,5.656854249492381,3.4657359027997265,1.505149978319906,-0.07741222329712637,32.0,-1.8123787565682907,-1.8996408679937933,0.08726211142550255,0.8503776562525572,-0.013642962352557242,0.00018613042175329424,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802
EPSRawData,NH4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.14018760282512607,k_H = slope,,0.5,0.1759637188,0.8240362811999999,-0.1935407194594588,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.7545768682611386,0.7071067811865476,0.1759637188,0.1576201305745064,0.01834358822549359,0.1576201305745064,0.01834358822549359,0.00033648722898646705,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054
EPSRawData,NH4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.14018760282512607,k_H = slope,,1.0,0.1950113378,0.8049886622,-0.21692708588635978,1.0,0.0,0.0,-0.7099401383767789,1.0,0.1950113378,0.19868012880369942,-0.0036687910036994342,0.19868012880369942,-0.0036687910036994342,1.3460027428825902e-05,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054
