Dataset,Analyte,Model,Linearized X,Linearized Y,Fit Basis,Fit Equation,Slope Meaning,Reported Parameter,Reported Parameter Value,Parameter from Fit,k (Ritger-Peppas),Time,F,1-F,ln(1-F),sqrt_t,ln_t,log_t,log_F,Linearized_X,Linearized_Y,Linearized_Y_Predicted,Linearized_Residual,F_Predicted,F_Residual,F_Residual_Squared,Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
SNAHCO3RawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.03506523235941262,k = -slope,,0.5,0.2919191919,0.7080808081000001,-0.3451970560669413,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.5347373518695543,0.5,-0.3451970560669413,-0.37540063011196756,0.03020357404502627,0.3129860148406025,-0.021066822940602525,0.00044381102881069684,-0.03506523235941262,-0.35786801393226125,0.9735661630196949,0.03136217913338376,6.025920881431417
SNAHCO3RawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.03506523235941262,k = -slope,,1.0,0.3252525253,0.6747474747,-0.39341676966234923,1.0,0.0,0.0,-0.4877793228383282,1.0,-0.39341676966234923,-0.39293324629167387,-0.000483523370675365,0.32492619023772173,0.00032633506227824904,1.0649457287214868e-07,-0.03506523235941262,-0.35786801393226125,0.9735661630196949,0.03136217913338376,6.025920881431417
SNAHCO3RawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.03506523235941262,k = -slope,,2.0,0.3656565657,0.6343434343000001,-0.45516477672890815,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.43692662401279675,2.0,-0.45516477672890815,-0.4279984786510865,-0.02716629807782167,0.34818759356792606,0.017468972132073934,0.0003051649873511757,-0.03506523235941262,-0.35786801393226125,0.9735661630196949,0.03136217913338376,6.025920881431417
SNAHCO3RawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.03506523235941262,k = -slope,,4.0,0.4222222222,0.5777777778,-0.5485659517103763,2.0,1.3862943611198906,0.6020599913279624,-0.3744589128453723,4.0,-0.5485659517103763,-0.49812894336991176,-0.050437008340464495,0.39233342472537713,0.029888797474622864,0.0008933402144790221,-0.03506523235941262,-0.35786801393226125,0.9735661630196949,0.03136217913338376,6.025920881431417
SNAHCO3RawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.03506523235941262,k = -slope,,6.0,0.4818181818,0.5181818182,-0.6574290979227784,2.449489742783178,1.791759469228055,0.7781512503836436,-0.31711681557382443,6.0,-0.6574290979227784,-0.568259408088737,-0.08916968983404139,0.43348935512403486,0.048328826675965164,0.002335675487875482,-0.03506523235941262,-0.35786801393226125,0.9735661630196949,0.03136217913338376,6.025920881431417
SNAHCO3RawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.03506523235941262,k = -slope,,24.0,0.6474747475,0.3525252525,-1.0426330209978416,4.898979485566356,3.1780538303479458,1.380211241711606,-0.18877716506179432,24.0,-1.0426330209978416,-1.1994335905581641,0.1568005695603225,0.6986351405187097,-0.05116039301870967,0.002617385813828837,-0.03506523235941262,-0.35786801393226125,0.9735661630196949,0.03136217913338376,6.025920881431417
SNAHCO3RawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.03506523235941262,k = -slope,,32.0,0.7414141414,0.25858585860000005,-1.3525274985943854,5.656854249492381,3.4657359027997265,1.505149978319906,-0.12993913468976295,32.0,-1.3525274985943854,-1.479955449433465,0.12742795083907965,0.7723521700022994,-0.03093802860229944,0.0009571616137966981,-0.03506523235941262,-0.35786801393226125,0.9735661630196949,0.03136217913338376,6.025920881431417
SNAHCO3RawData,PO4,First-Order Model,Time,ln(1-F),ln(1-F) vs Time,ln(1-F) = slope * Time + intercept,slope = -k,k (first-order),0.03506523235941262,k = -slope,,48.0,0.8878787879,0.11212121210000003,-2.1881747420054904,6.928203230275509,3.871201010907891,1.6812412373755872,-0.0516463195134024,48.0,-2.1881747420054904,-2.0409991671840673,-0.14717557482142318,0.8701011446579718,0.01777764324202813,0.0003160445992408284,-0.03506523235941262,-0.35786801393226125,0.9735661630196949,0.03136217913338376,6.025920881431417
SNAHCO3RawData,PO4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.09097634114746063,k_H = slope,,0.5,0.2919191919,0.7080808081000001,-0.3451970560669413,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.5347373518695543,0.7071067811865476,0.2919191919,0.29985974411905747,-0.007940552219057484,0.29985974411905747,-0.007940552219057484,6.305236954357873e-05,0.09097634114746063,0.23552975636614734,0.9928077536091181,0.01710380071306922,3.286319787613727
SNAHCO3RawData,PO4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.09097634114746063,k_H = slope,,1.0,0.3252525253,0.6747474747,-0.39341676966234923,1.0,0.0,0.0,-0.4877793228383282,1.0,0.3252525253,0.326506097513608,-0.0012535722136080008,0.326506097513608,-0.0012535722136080008,1.571443294730063e-06,0.09097634114746063,0.23552975636614734,0.9928077536091181,0.01710380071306922,3.286319787613727
SNAHCO3RawData,PO4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.09097634114746063,k_H = slope,,2.0,0.3656565657,0.6343434343000001,-0.45516477672890815,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.43692662401279675,1.4142135623730951,0.3656565657,0.3641897318719676,0.0014668338280323656,0.3641897318719676,0.0014668338280323656,2.1516014790600837e-06,0.09097634114746063,0.23552975636614734,0.9928077536091181,0.01710380071306922,3.286319787613727
SNAHCO3RawData,PO4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.09097634114746063,k_H = slope,,4.0,0.4222222222,0.5777777778,-0.5485659517103763,2.0,1.3862943611198906,0.6020599913279624,-0.3744589128453723,2.0,0.4222222222,0.4174824386610686,0.004739783538931397,0.4174824386610686,0.004739783538931397,2.2465547995925038e-05,0.09097634114746063,0.23552975636614734,0.9928077536091181,0.01710380071306922,3.286319787613727
SNAHCO3RawData,PO4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.09097634114746063,k_H = slope,,6.0,0.4818181818,0.5181818182,-0.6574290979227784,2.449489742783178,1.791759469228055,0.7781512503836436,-0.31711681557382443,2.449489742783178,0.4818181818,0.45837537084279534,0.023442810957204685,0.45837537084279534,0.023442810957204685,0.000549565385575236,0.09097634114746063,0.23552975636614734,0.9928077536091181,0.01710380071306922,3.286319787613727
SNAHCO3RawData,PO4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.09097634114746063,k_H = slope,,24.0,0.6474747475,0.3525252525,-1.0426330209978416,4.898979485566356,3.1780538303479458,1.380211241711606,-0.18877716506179432,4.898979485566356,0.6474747475,0.6812209853194433,-0.0337462378194433,0.6812209853194433,-0.0337462378194433,0.0011388085669664255,0.09097634114746063,0.23552975636614734,0.9928077536091181,0.01710380071306922,3.286319787613727
SNAHCO3RawData,PO4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.09097634114746063,k_H = slope,,32.0,0.7414141414,0.25858585860000005,-1.3525274985943854,5.656854249492381,3.4657359027997265,1.505149978319906,-0.12993913468976295,5.656854249492381,0.7414141414,0.7501696583894285,-0.008755516989428558,0.7501696583894285,-0.008755516989428558,7.665907775217212e-05,0.09097634114746063,0.23552975636614734,0.9928077536091181,0.01710380071306922,3.286319787613727
SNAHCO3RawData,PO4,Higuchi Model,sqrt_t,F,F vs sqrt_t,F = slope * sqrt_t + intercept,slope = k_H,k_H (Higuchi constant),0.09097634114746063,k_H = slope,,48.0,0.8878787879,0.11212121210000003,-2.1881747420054904,6.928203230275509,3.871201010907891,1.6812412373755872,-0.0516463195134024,6.928203230275509,0.8878787879,0.8658323369826307,0.02204645091736923,0.8658323369826307,0.02204645091736923,0.0004860459980519706,0.09097634114746063,0.23552975636614734,0.9928077536091181,0.01710380071306922,3.286319787613727
SNAHCO3RawData,PO4,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.12339966561339287,1/beta = slope,,0.5,0.2919191919,0.7080808081000001,-0.3451970560669413,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.5347373518695543,-0.6931471805599453,0.2919191919,0.22370577494670216,0.06821341695329783,0.22370577494670216,0.06821341695329783,0.00465307025244446,0.12339966561339287,0.30923990524866546,0.9243905853227848,0.05545596758588568,10.655295081841382
SNAHCO3RawData,PO4,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.12339966561339287,1/beta = slope,,1.0,0.3252525253,0.6747474747,-0.39341676966234923,1.0,0.0,0.0,-0.4877793228383282,0.0,0.3252525253,0.30923990524866546,0.016012620051334525,0.30923990524866546,0.016012620051334525,0.0002564040009084005,0.12339966561339287,0.30923990524866546,0.9243905853227848,0.05545596758588568,10.655295081841382
SNAHCO3RawData,PO4,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.12339966561339287,1/beta = slope,,2.0,0.3656565657,0.6343434343000001,-0.45516477672890815,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.43692662401279675,0.6931471805599453,0.3656565657,0.39477403555062873,-0.02911746985062874,0.39477403555062873,-0.02911746985062874,0.0008478270505022737,0.12339966561339287,0.30923990524866546,0.9243905853227848,0.05545596758588568,10.655295081841382
SNAHCO3RawData,PO4,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.12339966561339287,1/beta = slope,,4.0,0.4222222222,0.5777777778,-0.5485659517103763,2.0,1.3862943611198906,0.6020599913279624,-0.3744589128453723,1.3862943611198906,0.4222222222,0.48030816585259206,-0.058085943652592065,0.48030816585259206,-0.058085943652592065,0.0033739768500121005,0.12339966561339287,0.30923990524866546,0.9243905853227848,0.05545596758588568,10.655295081841382
SNAHCO3RawData,PO4,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.12339966561339287,1/beta = slope,,6.0,0.4818181818,0.5181818182,-0.6574290979227784,2.449489742783178,1.791759469228055,0.7781512503836436,-0.31711681557382443,1.791759469228055,0.4818181818,0.5303424246110378,-0.04852424281103773,0.5303424246110378,-0.04852424281103773,0.002354602140384547,0.12339966561339287,0.30923990524866546,0.9243905853227848,0.05545596758588568,10.655295081841382
SNAHCO3RawData,PO4,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.12339966561339287,1/beta = slope,,24.0,0.6474747475,0.3525252525,-1.0426330209978416,4.898979485566356,3.1780538303479458,1.380211241711606,-0.18877716506179432,3.1780538303479458,0.6474747475,0.7014106852149644,-0.05393593771496441,0.7014106852149644,-0.05393593771496441,0.0029090853771925203,0.12339966561339287,0.30923990524866546,0.9243905853227848,0.05545596758588568,10.655295081841382
SNAHCO3RawData,PO4,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.12339966561339287,1/beta = slope,,32.0,0.7414141414,0.25858585860000005,-1.3525274985943854,5.656854249492381,3.4657359027997265,1.505149978319906,-0.12993913468976295,3.4657359027997265,0.7414141414,0.7369105567584819,0.00450358464151801,0.7369105567584819,0.00450358464151801,2.0282274623316905e-05,0.12339966561339287,0.30923990524866546,0.9243905853227848,0.05545596758588568,10.655295081841382
SNAHCO3RawData,PO4,Elovich Model,ln_t,F,F vs ln_t,F = slope * ln_t + intercept,slope = 1/beta,slope (1/beta),0.12339966561339287,1/beta = slope,,48.0,0.8878787879,0.11212121210000003,-2.1881747420054904,6.928203230275509,3.871201010907891,1.6812412373755872,-0.0516463195134024,3.871201010907891,0.8878787879,0.7869448155169276,0.10093397238307233,0.7869448155169276,0.10093397238307233,0.010187666781026809,0.12339966561339287,0.30923990524866546,0.9243905853227848,0.05545596758588568,10.655295081841382
SNAHCO3RawData,PO4,Ritger-Peppas Model,log_t,log_F,log_F vs log_t,log_F = slope * log_t + intercept,slope = n,n (release exponent),0.23849147186935918,n = slope; k = 10^(intercept),0.32176903659479167,0.5,0.2919191919,0.7080808081000001,-0.3451970560669413,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.5347373518695543,-0.3010299956639812,-0.5347373518695543,-0.5642488365477952,0.02951148467824094,0.2727414615570993,0.019177730342900712,0.00036778534110501465,0.23849147186935918,-0.49245574980506557,0.9807141183666589,0.03352407121557709,6.441306259663089
